Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Effort,Self Feel,Place
Running,12/09/2022 21:00,7.01,464,0:41:59,0,0,169,192,6:00,5:12,31,55,0.99,0:41:54,0:41:59,50,80,9,3,Ein Vered
Running,08/09/2022 20:02,5,329,0:28:19,0,0,168,176,5:39,4:52,38,34,1.05,0:28:18,0:28:24,55,80,8,5,Ein Vered
Running,05/09/2022 20:50,7.01,460,0:40:02,0,0,169,175,5:43,4:55,34,57,1.04,0:39:56,0:40:02,50,80,8,5,Ein Vered
Running,03/09/2022 20:10,7,464,0:41:36,0,0,170,182,5:56,5:04,36,53,0.99,0:41:34,0:41:36,52,78,7,5,Ein Vered
Running,01/09/2022 20:42,5.01,331,0:28:57,0,0,167,175,5:47,5:17,19,35,1.03,0:28:50,0:28:57,50,79,8,5,Ein Vered
Running,25/08/2022 18:58,5.01,321,0:28:10,0,0,167,173,5:38,4:04,35,45,1.06,0:27:40,0:28:10,53,81,7,5,Ein Vered
Running,22/08/2022 20:32,5,333,0:29:10,0,0,169,175,5:50,5:14,17,32,1.01,0:29:03,0:29:10,54,78,10,4,Ein Vered
Running,18/08/2022 18:45,5.01,328,0:28:11,0,0,168,176,5:38,5:02,22,43,1.06,0:28:06,0:28:11,53,81,9,5,Ein Vered
Running,17/08/2022 19:29,5.01,331,0:28:27,0,0,167,175,5:41,5:05,20,42,1.05,0:28:20,0:28:30,50,80,7,5,Ein Vered
Running,13/08/2022 19:58,5,321,0:29:29,0,0,167,177,5:53,4:58,40,49,1.02,0:29:23,0:33:59,270,309,6,4,Beer Sheva
Running,11/08/2022 20:05,5,326,0:28:40,0,0,167,180,5:44,5:00,22,30,1.05,0:28:33,0:29:51,271,296,7,4,Beer Sheva
Running,08/08/2022 20:05,5.01,331,0:29:40,0,0,167,171,5:56,4:33,34,45,1.01,0:29:39,0:29:40,53,80,7,5,Ein Vered
Running,06/08/2022 20:19,5.01,330,0:29:38,0,0,167,175,5:55,4:21,19,37,1.01,0:29:33,0:29:38,50,80,8,5,Ein Vered
Running,04/08/2022 19:58,5,335,0:31:33,0,0,168,173,6:18,5:40,24,42,0.95,0:31:28,0:31:33,52,81,10,1,Ein Vered
Running,30/07/2022 20:00,5,332,0:30:41,0,0,168,177,6:08,5:12,38,32,0.97,0:30:36,0:32:10,274,299,10,1,Beer Sheva
Running,28/07/2022 20:30,5,334,0:30:33,0,0,166,176,6:06,5:22,35,42,0.99,0:30:26,0:32:25,274,310,10,1,Beer Sheva
Running,23/07/2022 19:07,5,329,0:28:30,0,0,168,175,5:42,5:01,27,22,1.05,0:28:23,0:28:55,270,292,10,2,Beer Sheva
Running,21/07/2022 20:45,5,327,0:28:14,0,0,166,178,5:39,4:46,32,37,1.07,0:28:09,0:28:28,270,303,9,4,Beer Sheva
Running,14/07/2022 20:44,5.01,326,0:27:48,0,0,168,180,5:33,4:44,30,40,1.07,0:27:42,0:28:33,269,294,6,5,Beer Sheva
Running,09/07/2022 20:44,5.01,328,0:27:24,0,0,169,185,5:29,4:47,26,24,1.08,0:27:19,0:28:52,269,292,10,3,Beer Sheva
Running,07/07/2022 20:55,5.01,328,0:27:09,0,0,168,182,5:25,4:08,50,47,1.1,0:27:07,0:27:18,269,299,10,3,Beer Sheva
Running,04/07/2022 20:28,5.01,333,0:27:25,0,0,169,178,5:29,4:39,52,46,1.08,0:27:20,0:27:35,269,304,8,4,Beer Sheva
Running,30/06/2022 20:32,5.01,333,0:28:21,0,0,168,179,5:40,4:13,60,52,1.05,0:28:20,0:28:21,270,301,9,4,Beer Sheva
Running,27/06/2022 21:13,3.01,199,0:14:49,0,0,168,178,4:56,4:29,12,23,1.21,0:14:43,0:14:51,270,293,9,4,Beer Sheva
Running,25/06/2022 20:47,5.01,329,0:29:07,0,0,167,178,5:49,4:37,14,34,1.03,0:29:01,0:29:07,54,78,7,5,Ein Vered
Running,20/06/2022 20:45,5.01,328,0:27:35,0,0,168,190,5:30,0:54,36,32,1.08,0:27:27,0:27:43,273,328,8,5,Beer Sheva
Running,18/06/2022 21:04,5.01,324,0:28:38,0,0,168,180,5:43,4:33,35,28,1.04,0:28:12,0:28:38,270,301,8,5,Beer Sheva
Running,09/06/2022 20:48,5,322,0:28:32,0,0,166,218,5:42,4:39,28,24,1.05,0:28:22,0:31:15,285,310,9,5,Beer Sheva
Running,06/06/2022 20:27,5,332,0:27:32,173,184,167,191,5:30,4:37,51,56,1.09,0:27:23,0:27:41,270,313,10,5,Beer Sheva
Running,02/06/2022 20:42,5,323,0:27:59,166,182,167,176,5:36,5:05,36,34,1.07,0:27:58,0:28:02,53,81,9,5,Ein Vered
Running,28/05/2022 20:00,5.01,332,0:27:57,171,184,169,189,5:35,4:00,38,38,1.06,0:27:50,0:28:52,270,302,9,5,Beer Sheva
Running,23/05/2022 20:11,5.01,325,0:27:47,169,181,167,173,5:33,4:50,30,42,1.08,0:27:42,0:27:57,274,291,9,5,Beer Sheva
Running,19/05/2022 20:09,5,340,0:28:29,172,184,167,176,5:42,4:33,35,30,1.05,0:28:20,0:28:37,274,303,8,5,Beer Sheva
Running,16/05/2022 20:38,5,348,0:28:47,173,184,168,193,5:45,4:35,34,34,1.04,0:28:34,0:29:30,285,311,9,5,Beer Sheva
Running,14/05/2022 20:02,5,346,0:27:52,176,185,166,177,5:34,5:03,27,34,1.08,0:27:48,0:28:01,270,301,9,5,Beer Sheva
Running,12/05/2022 20:13,5.01,327,0:27:08,171,188,167,188,5:25,4:41,32,38,1.1,0:27:02,0:27:14,269,303,9,5,Beer Sheva
Running,09/05/2022 20:41,5,345,0:27:41,175,185,166,227,5:32,4:53,33,39,1.09,0:27:40,0:27:58,282,310,7,5,Beer Sheva
Running,07/05/2022 12:52,5.01,351,0:28:30,173,188,167,175,5:42,4:25,33,46,1.05,0:28:24,0:28:30,53,79,10,4,Ein Vered
Running,30/04/2022 19:55,5,355,0:28:43,174,184,166,177,5:44,5:11,49,45,1.05,0:28:35,0:28:43,269,294,8,4,Beer Sheva
Running,28/04/2022 20:19,5,363,0:29:03,174,187,165,178,5:48,5:18,49,42,1.04,0:28:57,0:29:39,270,309,6,5,Beer Sheva
Running,23/04/2022 19:36,5,348,0:27:42,174,188,166,176,5:32,4:44,29,38,1.09,0:27:38,0:28:30,269,293,7,5,Beer Sheva
Running,19/04/2022 17:28,5,360,0:29:12,171,187,169,179,5:50,5:29,32,37,1.02,0:29:07,0:29:12,40,71,9,5,Ein Vered
Running,14/04/2022 18:53,5.01,356,0:28:46,173,192,168,175,5:45,4:49,18,27,1.04,0:28:40,0:28:46,40,71,9,5,Ein Vered
Running,07/04/2022 20:17,5,374,0:29:49,174,186,166,171,5:58,5:11,31,28,1.01,0:29:34,0:30:14,275,302,8,5,Beer Sheva
Running,05/04/2022 20:07,5,396,0:30:18,179,185,166,176,6:03,4:48,40,35,0.99,0:30:16,0:31:10,276,310,10,3,Beer Sheva
Running,21/03/2022 10:56,5,344,0:28:07,168,186,167,186,5:37,4:58,42,46,1.06,0:28:02,0:28:07,269,293,9,4,Beer Sheva
Running,08/03/2022 18:11,5,370,0:29:44,171,187,166,177,5:56,5:16,43,42,1.01,0:29:42,0:31:32,275,309,9,5,Beer Sheva
Running,16/02/2022 17:51,5.01,338,0:28:53,162,185,167,175,5:46,5:14,24,36,1.04,0:28:47,0:28:53,53,79,7,5,Ein Vered
Running,12/02/2022 17:02,5,344,0:28:37,165,184,168,177,5:43,5:18,41,33,1.04,0:28:29,0:28:39,270,301,9,4,Beer Sheva
Running,08/02/2022 16:55,5.01,342,0:28:38,165,186,167,176,5:43,5:04,31,38,1.05,0:28:31,0:29:36,269,292,8,5,Beer Sheva
Running,03/02/2022 16:59,5.01,328,0:29:07,158,185,168,175,5:49,5:26,27,42,1.02,0:29:05,0:29:07,40,79,10,4,Ein Vered
Running,01/02/2022 9:29,5,362,0:28:06,176,195,169,178,5:37,5:05,25,36,1.05,0:28:00,0:28:48,270,301,9,4,Beer Sheva
Running,31/01/2022 16:46,5,346,0:27:50,170,188,167,176,5:34,4:49,33,48,1.08,0:27:37,0:28:55,269,301,6,5,Beer Sheva
Running,29/01/2022 16:43,5.01,326,0:28:19,161,185,168,176,5:39,5:05,33,29,1.06,0:28:12,0:28:19,269,301,5,4,Beer Sheva
Running,25/01/2022 12:48,5,359,0:28:22,175,185,169,176,5:40,4:50,28,27,1.05,0:28:16,0:28:56,274,291,10,4,Beer Sheva
Running,20/01/2022 16:25,5,344,0:27:38,172,184,169,176,5:31,5:05,46,44,1.08,0:27:31,0:27:52,269,295,4,5,Beer Sheva
Running,11/01/2022 15:21,5.01,349,0:28:16,171,189,168,177,5:39,5:17,28,46,1.05,0:28:12,0:28:16,42,76,9,4,Ein Vered
Running,06/01/2022 15:58,5.01,334,0:27:40,167,186,167,175,5:32,4:40,45,42,1.09,0:27:32,0:27:51,266,293,6,5,Beer Sheva
Running,01/01/2022 16:48,5,337,0:27:49,167,190,168,176,5:34,5:11,29,43,1.07,0:27:43,0:27:55,269,301,9,4,Beer Sheva
Running,30/12/2021 16:32,5.01,342,0:27:37,170,187,170,183,5:31,5:09,39,36,1.07,0:27:33,0:28:09,269,293,7,4,Beer Sheva
Running,28/12/2021 17:02,5,319,0:27:37,162,186,167,175,5:31,5:08,23,35,1.09,0:27:36,0:28:13,270,292,5,5,Beer Sheva
Running,09/12/2021 16:50,5.01,349,0:28:18,171,185,170,181,5:39,5:04,156,161,1.04,0:28:11,0:28:18,269,317,4,4,Traidmill
Running,07/12/2021 21:12,5,323,0:27:54,163,183,170,177,5:35,5:21,195,182,1.06,0:27:52,0:28:10,204,294,5,4,Traidmill
Running,30/11/2021 18:22,5.01,341,0:27:53,170,183,167,176,5:34,5:12,212,207,1.08,0:27:48,0:28:18,263,338,8,4,Traidmill
Running,27/11/2021 19:09,5.02,341,0:28:32,167,181,166,179,5:41,5:19,171,125,1.06,0:28:30,0:28:32,238,319,3,5,Traidmill
Running,25/11/2021 19:28,5,343,0:28:38,167,182,165,173,5:43,5:31,195,99,1.06,0:28:32,0:28:38,187,307,4,4,Traidmill
Running,23/11/2021 20:50,5,343,0:27:58,170,185,162,171,5:35,5:07,264,229,1.1,0:27:56,0:27:58,263,350,9,4,Traidmill
Running,20/11/2021 20:19,5,316,0:26:52,165,189,165,173,5:22,4:44,239,223,1.13,0:26:52,0:26:52,259,322,4,5,Traidmill
Running,24/10/2021 20:51,3.01,179,0:14:30,171,191,166,178,4:50,4:25,12,24,1.25,0:14:25,0:14:30,274,294,8,5,Beer Sheva
Running,23/10/2021 19:19,5.01,337,0:28:15,165,182,167,175,5:39,4:44,38,36,1.06,0:28:09,0:28:15,269,293,4,4,Beer Sheva
Running,21/10/2021 19:51,5.01,336,0:27:20,169,181,166,175,5:28,4:45,38,38,1.11,0:27:13,0:27:22,273,302,--,--,Beer Sheva
Running,19/10/2021 19:42,3.01,166,0:14:31,160,187,167,176,4:50,4:21,14,23,1.24,0:14:25,0:14:31,269,292,--,--,Beer Sheva
Running,17/10/2021 20:18,3.01,183,0:15:10,168,184,164,173,5:03,4:22,33,28,1.21,0:15:05,0:15:10,269,294,--,--,Beer Sheva
Running,16/10/2021 19:22,5.01,336,0:27:17,172,186,164,186,5:27,3:53,44,39,1.12,0:27:11,0:27:23,271,301,--,--,Beer Sheva
Running,14/10/2021 19:01,5,329,0:26:34,173,183,164,174,5:19,4:29,39,50,1.15,0:26:28,0:26:44,269,293,--,--,Beer Sheva
Running,10/10/2021 18:49,5,348,0:28:53,169,182,165,174,5:46,4:59,69,41,1.05,0:28:46,0:28:53,264,313,--,--,Beer Sheva
Running,09/10/2021 20:43,5.01,352,0:28:21,172,182,165,174,5:40,4:58,39,31,1.07,0:28:19,0:29:01,269,295,--,--,Beer Sheva
Running,07/10/2021 21:25,5,349,0:29:31,164,180,166,173,5:54,5:21,12,27,1.02,0:29:29,0:29:31,56,75,--,--,Ein Vered
Running,05/10/2021 19:27,5,360,0:28:28,174,186,162,169,5:41,4:54,37,39,1.08,0:28:28,0:28:28,270,301,--,--,Beer Sheva
Running,03/10/2021 21:20,5,348,0:28:08,171,183,162,171,5:37,4:48,38,33,1.1,0:28:03,0:28:08,274,305,--,--,Beer Sheva
Running,28/09/2021 19:19,5,364,0:28:56,172,182,163,171,5:47,5:19,41,35,1.06,0:28:49,0:28:56,272,301,--,--,Beer Sheva
Running,25/09/2021 19:54,5,348,0:28:48,166,186,162,226,5:45,4:29,28,36,1.07,0:28:47,0:28:48,53,80,--,--,Ein Vered
Running,19/09/2021 18:38,5,363,0:28:35,174,184,163,169,5:43,4:58,27,39,1.08,0:28:28,0:28:35,55,77,--,--,Ein Vered
Running,16/09/2021 17:49,5,359,0:29:02,168,182,163,171,5:48,5:00,11,36,1.06,0:28:56,0:29:02,28,73,--,--,Ein Vered
Walking,14/09/2021 21:11,2.74,184,0:36:49,115,171,114,127,13:26,11:54,27,13,0.65,0:36:41,0:36:49,45,71,--,--,Ein Vered
Running,14/09/2021 20:41,5.04,362,0:29:16,168,183,163,169,5:48,5:05,18,36,1.06,0:29:14,0:29:16,53,74,--,--,Ein Vered
Running,11/09/2021 13:12,5,356,0:27:40,173,186,164,171,5:32,5:13,16,32,1.1,0:27:24,0:27:40,53,74,--,--,Ein Vered
Walking,04/09/2021 20:14,1.18,104,0:17:07,120,178,106,124,14:31,9:30,16,4,0.65,0:17:07,0:17:07,53,69,--,--,Ein Vered
Running,04/09/2021 19:45,5,353,0:28:17,169,185,162,169,5:39,4:44,15,33,1.09,0:28:10,0:28:17,53,74,--,--,Ein Vered
Walking,02/09/2021 21:25,2.78,181,0:35:51,110,176,116,237,12:53,9:07,26,12,0.67,0:35:47,0:35:51,45,71,--,--,Ein Vered
Running,02/09/2021 20:56,5,359,0:29:12,166,191,164,169,5:51,4:42,15,32,1.05,0:29:06,0:29:12,53,74,--,--,Ein Vered
Walking,31/08/2021 21:23,1.21,111,0:16:35,123,178,111,169,13:40,9:39,9,--,0.66,0:16:34,0:16:35,53,69,--,--,Ein Vered
Running,31/08/2021 20:55,5.01,347,0:28:21,165,189,164,175,5:40,4:06,17,32,1.08,0:28:14,0:28:21,53,74,--,--,Ein Vered
Walking,29/08/2021 20:24,1.21,108,0:16:50,123,175,109,127,13:54,11:27,13,3,0.66,0:00:00,0:16:50,53,68,--,--,Ein Vered
Running,29/08/2021 19:55,5.01,358,0:28:32,167,183,162,171,5:42,4:37,16,32,1.08,0:28:24,0:28:32,53,74,--,--,Ein Vered
Treadmill Running,28/08/2021 12:07,5,396,0:34:45,155,177,158,169,6:57,6:27,--,--,0.7,0:33:35,0:34:45,--,--,--,--,Traidmill
Treadmill Running,26/08/2021 21:19,5,371,0:34:46,148,176,157,169,6:57,6:13,--,--,0.76,0:34:14,0:34:46,--,--,--,--,Traidmill
Treadmill Running,24/08/2021 19:17,5,382,0:30:25,166,179,161,169,6:05,6:08,--,--,0.79,0:30:10,0:30:25,--,--,--,--,Traidmill
Walking,22/08/2021 20:47,3.02,204,0:44:55,106,169,105,166,14:53,9:59,30,16,0.64,0:00:00,0:44:55,42,71,--,--,Ein Vered
Running,22/08/2021 20:17,5.09,369,0:30:03,164,182,164,173,5:54,5:21,9,23,1.03,0:29:38,0:30:03,55,75,--,--,Ein Vered
Treadmill Running,21/08/2021 21:29,4.81,405,0:34:50,157,178,157,171,7:15,6:06,--,--,0.87,0:34:26,0:34:50,--,--,--,--,Ein Vered
Walking,19/08/2021 19:42,2.65,189,0:37:09,114,134,112,127,14:02,9:18,26,46,0.63,0:00:00,0:37:09,42,90,--,--,Traidmill
Running,19/08/2021 19:11,5,360,0:28:19,166,185,164,179,5:40,4:44,20,33,1.08,0:28:04,0:28:19,55,75,--,--,Ein Vered
Treadmill Running,15/08/2021 20:41,5.82,405,0:34:47,155,181,156,165,5:59,5:11,--,--,1.07,0:34:14,0:34:47,--,--,--,--,Ein Vered
Treadmill Running,14/08/2021 17:55,5.83,399,0:34:50,154,179,155,167,5:59,4:53,--,--,1.07,0:00:00,0:34:50,--,--,--,--,Traidmill
Treadmill Running,12/08/2021 21:11,5.54,410,0:34:54,157,178,153,167,6:18,5:05,--,--,1.03,0:34:16,0:34:54,--,--,--,--,Traidmill
Treadmill Running,08/08/2021 20:58,5.79,406,0:34:59,155,173,155,169,6:02,5:13,--,--,1.06,0:34:33,0:34:59,--,--,--,--,Traidmill
Treadmill Running,07/08/2021 14:56,5.32,385,0:34:45,149,170,154,167,6:32,5:06,--,--,0.99,0:33:58,0:34:45,--,--,--,--,Traidmill
Treadmill Running,05/08/2021 21:38,5.53,387,0:34:37,155,175,156,171,6:15,5:03,--,--,1.02,0:34:13,0:34:37,--,--,--,--,Traidmill
Treadmill Running,01/08/2021 20:00,5.39,385,0:34:42,154,178,153,173,6:26,4:56,--,--,1.01,0:33:54,0:34:46,--,--,--,--,Traidmill
Treadmill Running,31/07/2021 20:12,5.5,403,0:34:53,160,182,154,169,6:21,3:57,--,--,1.29,0:00:00,0:34:53,--,--,--,--,Traidmill
